timestamp_utc_end_of_period,trade_open_cents,trade_high_cents,trade_low_cents,trade_close_cents,yes_bid_open_cents,yes_bid_high_cents,yes_bid_low_cents,yes_bid_close_cents,yes_ask_open_cents,yes_ask_high_cents,yes_ask_low_cents,yes_ask_close_cents,volume,open_interest
2025-05-15 03:01:00+00:00,53.0,53.0,53.0,53.0,6,53,6,53,100,100,68,69,2,2
2025-05-15 03:02:00+00:00,,,,,53,61,50,61,69,85,67,76,0,0
2025-05-15 03:03:00+00:00,,,,,61,66,59,63,76,89,76,78,0,0
2025-05-15 03:04:00+00:00,,,,,63,63,56,58,78,87,73,73,0,0
2025-05-15 03:05:00+00:00,70.0,70.0,70.0,70.0,58,58,51,55,73,73,62,65,33,33
2025-05-15 03:06:00+00:00,55.0,57.0,53.0,57.0,55,57,48,48,65,65,53,56,141,174
2025-05-15 03:07:00+00:00,54.0,54.0,50.0,50.0,48,50,48,48,56,56,52,54,37,211
2025-05-15 03:08:00+00:00,49.0,49.0,48.0,49.0,48,48,40,45,54,55,49,52,764,975
2025-05-15 03:09:00+00:00,43.0,47.0,43.0,47.0,45,45,43,43,52,52,47,47,29,1004
2025-05-15 03:10:00+00:00,45.0,45.0,43.0,43.0,43,44,43,44,47,50,45,49,6,1010
2025-05-15 03:11:00+00:00,43.0,43.0,42.0,42.0,44,45,38,43,49,50,44,44,30,1033
2025-05-15 03:12:00+00:00,44.0,44.0,43.0,43.0,43,45,38,41,44,50,43,47,11,1033
2025-05-15 03:13:00+00:00,38.0,38.0,38.0,38.0,41,46,38,46,47,52,39,51,2,1035
2025-05-15 03:14:00+00:00,47.0,47.0,47.0,47.0,46,49,42,47,51,55,49,54,1,1035
2025-05-15 03:15:00+00:00,38.0,38.0,38.0,38.0,47,51,36,36,54,60,40,40,28,1035
2025-05-15 03:16:00+00:00,36.0,36.0,35.0,35.0,36,36,30,30,40,42,33,34,205,1240
2025-05-15 03:17:00+00:00,34.0,34.0,34.0,34.0,30,43,30,32,34,47,33,41,1,1240
2025-05-15 03:18:00+00:00,37.0,37.0,37.0,37.0,32,38,28,34,41,45,36,42,54,1291
2025-05-15 03:19:00+00:00,34.0,37.0,34.0,37.0,34,34,26,28,42,42,31,37,5,1296
2025-05-15 03:20:00+00:00,35.0,35.0,35.0,35.0,28,31,26,28,37,37,33,34,71,1367
2025-05-15 03:21:00+00:00,,,,,28,28,23,25,34,34,31,32,0,1367
2025-05-15 03:22:00+00:00,31.0,31.0,31.0,31.0,25,27,15,25,32,34,26,33,2,1367
2025-05-15 03:23:00+00:00,34.0,44.0,34.0,44.0,25,47,25,47,33,54,33,54,17,1361
