timestamp,kalshi_open_cents,kalshi_high_cents,kalshi_low_cents,kalshi_close_cents,kalshi_volume
2025-05-14 02:01:00+00:00,41,41,41,41,0
2025-05-14 02:02:00+00:00,41,72,3,72,0
2025-05-14 02:03:00+00:00,72,74,3,31,0
2025-05-14 02:04:00+00:00,31,52,6,49,0
2025-05-14 02:05:00+00:00,49,56,10,56,0
2025-05-14 02:06:00+00:00,56,57,20,53,0
2025-05-14 02:07:00+00:00,53,53,5,46,0
2025-05-14 02:08:00+00:00,46,48,10,48,0
2025-05-14 02:09:00+00:00,48,48,3,3,0
2025-05-14 02:10:00+00:00,3,31,3,17,0
2025-05-14 02:11:00+00:00,17,19,3,3,0
2025-05-14 02:12:00+00:00,34,49,34,49,471
2025-05-14 02:13:00+00:00,24,51,24,45,0
2025-05-14 02:14:00+00:00,45,49,24,45,0
2025-05-14 02:15:00+00:00,45,56,24,56,0
2025-05-14 02:16:00+00:00,56,56,30,53,0
2025-05-14 02:17:00+00:00,53,61,30,60,0
2025-05-14 02:18:00+00:00,60,65,41,62,0
2025-05-14 02:19:00+00:00,62,66,40,61,0
2025-05-14 02:20:00+00:00,61,77,41,76,0
2025-05-14 02:21:00+00:00,76,77,50,73,0
2025-05-14 02:22:00+00:00,73,75,41,69,0
2025-05-14 02:23:00+00:00,69,69,41,68,0
2025-05-14 02:24:00+00:00,68,71,40,62,0
2025-05-14 02:25:00+00:00,62,64,40,58,0
2025-05-14 02:26:00+00:00,58,61,40,58,0
2025-05-14 02:27:00+00:00,58,58,10,44,0
2025-05-14 02:28:00+00:00,44,48,10,38,0
2025-05-14 02:29:00+00:00,38,42,3,32,0
2025-05-14 02:30:00+00:00,27,49,27,49,263
2025-05-14 02:31:00+00:00,24,26,3,16,0
2025-05-14 02:32:00+00:00,31,49,31,49,109
2025-05-14 02:33:00+00:00,29,40,3,40,0
2025-05-14 02:34:00+00:00,40,43,10,42,0
2025-05-14 02:35:00+00:00,42,42,3,38,0
2025-05-14 02:36:00+00:00,38,45,3,44,0
2025-05-14 02:37:00+00:00,44,44,3,39,0
2025-05-14 02:38:00+00:00,39,47,11,46,0
2025-05-14 02:39:00+00:00,46,50,3,3,0
2025-05-14 02:40:00+00:00,3,44,3,43,0
2025-05-14 02:41:00+00:00,43,50,11,46,0
2025-05-14 02:42:00+00:00,46,55,21,52,0
2025-05-14 02:43:00+00:00,52,56,20,55,0
2025-05-14 02:44:00+00:00,55,57,30,56,0
2025-05-14 02:45:00+00:00,56,61,30,61,0
2025-05-14 02:46:00+00:00,61,61,20,51,0
2025-05-14 02:47:00+00:00,51,51,3,47,0
2025-05-14 02:48:00+00:00,47,48,3,11,0
2025-05-14 02:49:00+00:00,11,38,3,27,0
2025-05-14 02:50:00+00:00,27,32,3,26,0
2025-05-14 02:51:00+00:00,26,37,3,28,0
2025-05-14 02:52:00+00:00,28,28,28,28,8
2025-05-14 02:53:00+00:00,3,3,0,0,0
2025-05-14 02:54:00+00:00,0,2,0,0,0
2025-05-14 02:55:00+00:00,1,39,1,39,147
2025-05-14 02:56:00+00:00,0,2,0,0,0
2025-05-14 02:57:00+00:00,44,44,44,44,2
2025-05-14 02:59:00+00:00,0,0,0,0,0
