market_ticker,series_ticker,timestamp_s,datetime_utc,trade_open_cents,trade_high_cents,trade_low_cents,trade_close_cents,yes_bid_open_cents,yes_bid_high_cents,yes_bid_low_cents,yes_bid_close_cents,yes_ask_open_cents,yes_ask_high_cents,yes_ask_low_cents,yes_ask_close_cents,volume,open_interest
KXBTCD-25APR2114-T85999.99,KXBTCD,1745254860,2025-04-21T17:01:00+00:00,,,,,0,96,0,94,99,100,98,98,0,0
KXBTCD-25APR2114-T85999.99,KXBTCD,1745254920,2025-04-21T17:02:00+00:00,,,,,94,94,93,93,98,99,97,97,0,0
KXBTCD-25APR2114-T85999.99,KXBTCD,1745254980,2025-04-21T17:03:00+00:00,,,,,93,93,92,92,97,98,95,97,0,0
KXBTCD-25APR2114-T85999.99,KXBTCD,1745255040,2025-04-21T17:04:00+00:00,92.0,92.0,92.0,92.0,92,92,91,92,97,97,95,96,620,620
KXBTCD-25APR2114-T85999.99,KXBTCD,1745255100,2025-04-21T17:05:00+00:00,,,,,92,92,89,91,96,96,94,95,0,620
KXBTCD-25APR2114-T85999.99,KXBTCD,1745255160,2025-04-21T17:06:00+00:00,88.0,88.0,87.0,87.0,91,91,80,85,95,96,85,89,40,660
KXBTCD-25APR2114-T85999.99,KXBTCD,1745255220,2025-04-21T17:07:00+00:00,83.0,83.0,83.0,83.0,85,86,79,81,89,89,83,85,5,665
KXBTCD-25APR2114-T85999.99,KXBTCD,1745255280,2025-04-21T17:08:00+00:00,83.0,93.0,83.0,93.0,81,89,80,89,85,94,85,92,69,734
KXBTCD-25APR2114-T85999.99,KXBTCD,1745255340,2025-04-21T17:09:00+00:00,,,,,89,89,84,88,92,93,87,92,0,734
KXBTCD-25APR2114-T85999.99,KXBTCD,1745255400,2025-04-21T17:10:00+00:00,91.0,92.0,91.0,92.0,88,92,88,91,92,97,90,93,108,842
KXBTCD-25APR2114-T85999.99,KXBTCD,1745255460,2025-04-21T17:11:00+00:00,91.0,91.0,91.0,91.0,91,91,88,91,93,97,91,95,3,845
KXBTCD-25APR2114-T85999.99,KXBTCD,1745255520,2025-04-21T17:12:00+00:00,,,,,91,93,90,93,95,97,93,97,0,845
KXBTCD-25APR2114-T85999.99,KXBTCD,1745255580,2025-04-21T17:13:00+00:00,93.0,93.0,93.0,93.0,93,95,92,95,97,98,96,98,19,845
KXBTCD-25APR2114-T85999.99,KXBTCD,1745255640,2025-04-21T17:14:00+00:00,,,,,95,95,93,95,98,99,97,98,0,845
KXBTCD-25APR2114-T85999.99,KXBTCD,1745255760,2025-04-21T17:16:00+00:00,,,,,95,95,93,93,98,98,97,97,0,845
KXBTCD-25APR2114-T85999.99,KXBTCD,1745255820,2025-04-21T17:17:00+00:00,,,,,93,95,93,94,97,100,97,98,0,845
KXBTCD-25APR2114-T85999.99,KXBTCD,1745255880,2025-04-21T17:18:00+00:00,98.0,98.0,98.0,98.0,94,94,94,94,98,99,98,99,100,945
KXBTCD-25APR2114-T85999.99,KXBTCD,1745255940,2025-04-21T17:19:00+00:00,,,,,94,96,94,96,99,100,98,100,0,945
KXBTCD-25APR2114-T85999.99,KXBTCD,1745256000,2025-04-21T17:20:00+00:00,,,,,96,97,94,95,100,100,99,99,0,945
KXBTCD-25APR2114-T85999.99,KXBTCD,1745256060,2025-04-21T17:21:00+00:00,,,,,95,95,94,95,99,99,98,99,0,945
KXBTCD-25APR2114-T85999.99,KXBTCD,1745256120,2025-04-21T17:22:00+00:00,,,,,95,95,95,95,99,100,99,100,0,945
KXBTCD-25APR2114-T85999.99,KXBTCD,1745256180,2025-04-21T17:23:00+00:00,,,,,95,95,92,92,100,100,98,100,0,945
KXBTCD-25APR2114-T85999.99,KXBTCD,1745256240,2025-04-21T17:24:00+00:00,,,,,92,92,83,83,100,100,100,100,0,945
KXBTCD-25APR2114-T85999.99,KXBTCD,1745256300,2025-04-21T17:25:00+00:00,,,,,83,84,83,83,100,100,100,100,0,945
KXBTCD-25APR2114-T85999.99,KXBTCD,1745256360,2025-04-21T17:26:00+00:00,,,,,83,84,82,84,100,100,100,100,0,945
KXBTCD-25APR2114-T85999.99,KXBTCD,1745256420,2025-04-21T17:27:00+00:00,,,,,84,84,82,84,100,100,100,100,0,945
KXBTCD-25APR2114-T85999.99,KXBTCD,1745256540,2025-04-21T17:29:00+00:00,,,,,84,96,84,96,100,100,100,100,0,945
KXBTCD-25APR2114-T85999.99,KXBTCD,1745258400,2025-04-21T18:00:00+00:00,,,,,96,99,96,99,100,100,100,100,0,945
