market_ticker,series_ticker,timestamp_s,datetime_utc,trade_open_cents,trade_high_cents,trade_low_cents,trade_close_cents,yes_bid_open_cents,yes_bid_high_cents,yes_bid_low_cents,yes_bid_close_cents,yes_ask_open_cents,yes_ask_high_cents,yes_ask_low_cents,yes_ask_close_cents,volume,open_interest
KXBTCD-25APR2815-T94249.99,KXBTCD,1745863260,2025-04-28T18:01:00+00:00,38.0,39.0,38.0,39.0,0,36,0,33,38,100,35,36,111,111
KXBTCD-25APR2815-T94249.99,KXBTCD,1745863320,2025-04-28T18:02:00+00:00,35.0,35.0,28.0,28.0,33,34,25,25,36,39,26,26,111,129
KXBTCD-25APR2815-T94249.99,KXBTCD,1745863380,2025-04-28T18:03:00+00:00,26.0,29.0,25.0,25.0,25,28,22,23,26,30,24,24,112,211
KXBTCD-25APR2815-T94249.99,KXBTCD,1745863440,2025-04-28T18:04:00+00:00,24.0,25.0,24.0,25.0,23,25,22,24,24,26,24,26,650,861
KXBTCD-25APR2815-T94249.99,KXBTCD,1745863500,2025-04-28T18:05:00+00:00,25.0,26.0,25.0,26.0,24,26,23,24,26,29,25,28,703,1534
KXBTCD-25APR2815-T94249.99,KXBTCD,1745863560,2025-04-28T18:06:00+00:00,24.0,24.0,22.0,22.0,24,25,20,21,27,30,22,22,30,1564
KXBTCD-25APR2815-T94249.99,KXBTCD,1745863620,2025-04-28T18:07:00+00:00,20.0,21.0,20.0,21.0,21,21,15,19,22,29,21,21,65,1599
KXBTCD-25APR2815-T94249.99,KXBTCD,1745863680,2025-04-28T18:08:00+00:00,18.0,18.0,18.0,18.0,19,21,17,17,21,27,20,20,2,1601
KXBTCD-25APR2815-T94249.99,KXBTCD,1745863740,2025-04-28T18:09:00+00:00,20.0,20.0,20.0,20.0,17,20,17,19,20,24,19,22,32,1631
KXBTCD-25APR2815-T94249.99,KXBTCD,1745863800,2025-04-28T18:10:00+00:00,,,,,19,19,11,11,22,26,14,14,0,1631
KXBTCD-25APR2815-T94249.99,KXBTCD,1745863860,2025-04-28T18:11:00+00:00,12.0,12.0,7.0,7.0,11,12,7,8,14,16,9,9,7,1629
KXBTCD-25APR2815-T94249.99,KXBTCD,1745863920,2025-04-28T18:12:00+00:00,9.0,12.0,9.0,11.0,8,12,7,7,9,13,9,9,160,1721
KXBTCD-25APR2815-T94249.99,KXBTCD,1745863980,2025-04-28T18:13:00+00:00,,,,,7,7,7,7,9,10,8,8,0,1721
KXBTCD-25APR2815-T94249.99,KXBTCD,1745864040,2025-04-28T18:14:00+00:00,,,,,7,7,7,7,8,8,8,8,0,1721
KXBTCD-25APR2815-T94249.99,KXBTCD,1745864100,2025-04-28T18:15:00+00:00,8.0,10.0,8.0,10.0,7,7,6,6,8,10,8,8,152,1873
KXBTCD-25APR2815-T94249.99,KXBTCD,1745864160,2025-04-28T18:16:00+00:00,,,,,6,7,5,6,8,8,8,8,0,1873
KXBTCD-25APR2815-T94249.99,KXBTCD,1745864220,2025-04-28T18:17:00+00:00,,,,,6,7,6,6,8,8,8,8,0,1873
KXBTCD-25APR2815-T94249.99,KXBTCD,1745864280,2025-04-28T18:18:00+00:00,,,,,6,6,6,6,8,8,8,8,0,1873
KXBTCD-25APR2815-T94249.99,KXBTCD,1745864340,2025-04-28T18:19:00+00:00,8.0,8.0,8.0,8.0,6,7,5,7,8,8,8,8,61,1934
KXBTCD-25APR2815-T94249.99,KXBTCD,1745864400,2025-04-28T18:20:00+00:00,8.0,9.0,8.0,9.0,7,8,4,5,8,11,8,10,64,1998
KXBTCD-25APR2815-T94249.99,KXBTCD,1745864460,2025-04-28T18:21:00+00:00,8.0,12.0,8.0,12.0,5,9,5,7,10,13,8,10,65,2038
KXBTCD-25APR2815-T94249.99,KXBTCD,1745864520,2025-04-28T18:22:00+00:00,7.0,7.0,7.0,7.0,7,7,6,7,10,10,8,8,10,2038
KXBTCD-25APR2815-T94249.99,KXBTCD,1745864580,2025-04-28T18:23:00+00:00,8.0,8.0,8.0,8.0,7,8,5,7,8,12,8,8,45,2083
KXBTCD-25APR2815-T94249.99,KXBTCD,1745864640,2025-04-28T18:24:00+00:00,8.0,8.0,8.0,8.0,7,8,6,8,8,14,8,13,11,2094
KXBTCD-25APR2815-T94249.99,KXBTCD,1745864700,2025-04-28T18:25:00+00:00,,,,,8,11,8,9,13,14,12,12,0,2094
KXBTCD-25APR2815-T94249.99,KXBTCD,1745864760,2025-04-28T18:26:00+00:00,,,,,9,9,9,9,12,13,12,12,0,2094
KXBTCD-25APR2815-T94249.99,KXBTCD,1745864820,2025-04-28T18:27:00+00:00,,,,,9,9,7,8,12,13,10,12,0,2094
KXBTCD-25APR2815-T94249.99,KXBTCD,1745864880,2025-04-28T18:28:00+00:00,11.0,11.0,11.0,11.0,8,10,7,9,12,14,11,12,102,2196
KXBTCD-25APR2815-T94249.99,KXBTCD,1745864940,2025-04-28T18:29:00+00:00,7.0,7.0,7.0,7.0,9,9,6,7,12,12,10,10,10,2206
