market_ticker,series_ticker,timestamp_s,datetime_utc,trade_open_cents,trade_high_cents,trade_low_cents,trade_close_cents,yes_bid_open_cents,yes_bid_high_cents,yes_bid_low_cents,yes_bid_close_cents,yes_ask_open_cents,yes_ask_high_cents,yes_ask_low_cents,yes_ask_close_cents,volume,open_interest
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746759660,2025-05-09T03:01:00+00:00,,,,,0,55,0,51,64,100,58,60,0,0
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746759720,2025-05-09T03:02:00+00:00,,,,,51,51,42,45,60,60,51,51,0,0
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746759780,2025-05-09T03:03:00+00:00,,,,,45,46,39,44,51,53,44,52,0,0
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746759840,2025-05-09T03:04:00+00:00,52.0,52.0,44.0,44.0,44,49,40,49,52,59,47,55,92,74
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746759900,2025-05-09T03:05:00+00:00,53.0,54.0,47.0,47.0,49,49,46,46,55,56,51,53,383,82
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746759960,2025-05-09T03:06:00+00:00,53.0,53.0,53.0,53.0,46,54,42,54,53,64,49,64,1,83
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746760020,2025-05-09T03:07:00+00:00,68.0,72.0,68.0,68.0,54,69,54,68,64,73,62,71,216,298
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746760080,2025-05-09T03:08:00+00:00,74.0,74.0,73.0,73.0,68,74,68,68,71,77,69,69,185,475
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746760140,2025-05-09T03:09:00+00:00,75.0,75.0,74.0,74.0,68,74,68,70,69,79,69,75,200,675
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746760200,2025-05-09T03:10:00+00:00,75.0,75.0,72.0,72.0,70,73,69,72,75,80,74,79,127,785
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746760260,2025-05-09T03:11:00+00:00,76.0,76.0,76.0,76.0,72,78,72,76,79,84,79,81,5,785
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746760320,2025-05-09T03:12:00+00:00,78.0,79.0,78.0,79.0,76,80,72,77,81,86,77,84,3,784
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746760380,2025-05-09T03:13:00+00:00,77.0,77.0,77.0,77.0,77,80,74,77,84,85,79,83,25,784
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746760440,2025-05-09T03:14:00+00:00,81.0,81.0,80.0,80.0,77,79,74,75,83,84,79,79,70,854
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746760500,2025-05-09T03:15:00+00:00,83.0,83.0,78.0,78.0,75,79,75,78,79,85,79,82,15,864
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746760560,2025-05-09T03:16:00+00:00,86.0,86.0,84.0,84.0,78,81,78,79,82,87,82,85,11,875
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746760620,2025-05-09T03:17:00+00:00,,,,,79,84,78,78,85,89,82,82,0,875
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746760680,2025-05-09T03:18:00+00:00,74.0,74.0,74.0,74.0,78,78,69,70,82,83,72,74,10,876
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746760740,2025-05-09T03:19:00+00:00,76.0,77.0,72.0,73.0,70,73,69,72,74,79,73,73,793,1229
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746760800,2025-05-09T03:20:00+00:00,73.0,73.0,73.0,73.0,72,72,68,68,73,73,72,72,253,1239
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746760860,2025-05-09T03:21:00+00:00,73.0,73.0,73.0,73.0,68,70,68,70,72,73,71,73,67,1306
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746760920,2025-05-09T03:22:00+00:00,,,,,70,70,68,69,73,73,70,73,0,1306
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746760980,2025-05-09T03:23:00+00:00,73.0,79.0,73.0,79.0,69,77,69,77,73,84,73,81,337,1519
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746761040,2025-05-09T03:24:00+00:00,87.0,89.0,87.0,89.0,77,88,77,84,81,91,81,91,100,1529
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746761100,2025-05-09T03:25:00+00:00,80.0,80.0,80.0,80.0,84,84,75,75,91,92,77,77,10,1539
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746761160,2025-05-09T03:26:00+00:00,75.0,75.0,75.0,75.0,75,76,68,68,77,83,69,69,100,1629
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746761220,2025-05-09T03:27:00+00:00,68.0,72.0,63.0,72.0,68,68,62,68,69,74,69,73,293,1778
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746761280,2025-05-09T03:28:00+00:00,74.0,74.0,74.0,74.0,68,69,64,69,73,76,69,74,26,1778
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746761340,2025-05-09T03:29:00+00:00,74.0,74.0,74.0,74.0,69,71,67,69,74,77,73,74,33,1778
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746761400,2025-05-09T03:30:00+00:00,68.0,68.0,68.0,68.0,69,69,65,68,74,75,72,73,5,1778
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746761460,2025-05-09T03:31:00+00:00,74.0,74.0,68.0,68.0,68,74,67,70,73,76,72,73,69,1803
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746761520,2025-05-09T03:32:00+00:00,66.0,66.0,66.0,66.0,70,70,58,59,73,73,62,63,14,1803
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746761580,2025-05-09T03:33:00+00:00,57.0,57.0,57.0,57.0,59,59,56,57,63,63,61,61,33,1825
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746761640,2025-05-09T03:34:00+00:00,61.0,61.0,60.0,60.0,57,60,55,60,61,62,60,61,11,1836
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746761700,2025-05-09T03:35:00+00:00,60.0,63.0,60.0,63.0,60,60,57,58,61,64,60,60,105,1926
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746761760,2025-05-09T03:36:00+00:00,57.0,60.0,57.0,60.0,58,61,51,61,60,69,54,67,200,2026
KXBTCD-25MAY0900-T102499.99,KXBTCD,1746761820,2025-05-09T03:37:00+00:00,66.0,77.0,66.0,77.0,61,72,61,69,67,81,66,77,10,2026
