decision_timestamp_utc,market_ticker,kalshi_strike_price,predicted_proba_yes,model_prob_chosen_side,kalshi_yes_bid_at_decision_t,kalshi_yes_ask_at_decision_t,executed_trade_action,num_contracts_sim,simulated_entry_price_cents,pnl_cents,actual_market_result,session_capital_after_trade
2025-05-11T23:00:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.4399,,,,NO_TRADE_THRESHOLD_NOT_MET,0,,,no,500.0
2025-05-11T23:01:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.4369,,0.0,16.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,no,500.0
2025-05-11T23:02:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.1723,,0.0,16.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,no,500.0
2025-05-11T23:03:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.1722,,0.0,16.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,no,500.0
2025-05-11T23:04:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.1719,,0.0,16.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,no,500.0
2025-05-11T23:05:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.1764,,0.0,16.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,no,500.0
2025-05-11T23:06:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.1791,,0.0,16.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,no,500.0
2025-05-11T23:07:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.1783,,0.0,16.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,no,500.0
2025-05-11T23:08:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.1767,,0.0,16.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,no,500.0
2025-05-11T23:09:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.1817,,0.0,16.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,no,500.0
2025-05-11T23:10:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.1787,,0.0,16.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,no,500.0
2025-05-11T23:11:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.1653,,0.0,16.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,no,500.0
2025-05-11T23:12:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.1713,,0.0,16.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,no,500.0
2025-05-11T23:13:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.1651,,0.0,16.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,no,500.0
2025-05-11T23:14:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.165,,0.0,16.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,no,500.0
2025-05-11T23:15:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.164,,0.0,16.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,no,500.0
2025-05-11T23:16:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.1651,,0.0,16.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,no,500.0
2025-05-11T23:17:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.1664,,0.0,16.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,no,500.0
2025-05-11T23:18:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.1694,,0.0,16.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,no,500.0
2025-05-11T23:19:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.169,,0.0,16.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,no,500.0
2025-05-11T23:20:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.168,,0.0,16.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,no,500.0
2025-05-11T23:21:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.1634,,0.0,16.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,no,500.0
2025-05-11T23:22:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.1648,,0.0,16.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,no,500.0
