2025-05-22 02:44:39,163 - INFO - Backtest_Logistic Regression_CalV2_15m.main_backtest_loop:450 - Processing session 25MAY12_10 (detailed logs will be in: session_25MAY12_10_logistic_regression_20250522_024427.log)
2025-05-22 02:44:39,163 - INFO - utils.clear_binance_cache:53 - Utils: All Binance data caches cleared.
2025-05-22 02:44:39,163 - INFO - utils.clear_kalshi_cache:58 - Utils: Kalshi market minute data cache cleared.
2025-05-22 02:44:39,163 - INFO - Backtest_Logistic Regression_CalV2_15m.main_backtest_loop:471 -   Session 25MAY12_10: Binance data range for TA features: 2025-05-12 11:00 to 2025-05-12 15:00
2025-05-22 02:44:39,163 - INFO - utils.load_and_prepare_binance_range_with_features:197 - Utils: Preparing Binance data with features for range: 2025-05-12 to 2025-05-12
2025-05-22 02:44:39,169 - INFO - utils.load_and_prepare_binance_range_with_features:226 - Utils: Calculating TA features on combined Binance data (4320 rows)...
2025-05-22 02:44:39,172 - INFO - utils.load_and_prepare_binance_range_with_features:240 - Utils: Binance features calculated and cached for the requested range 2025-05-12 to 2025-05-12.
2025-05-22 02:44:39,173 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:156 - --- Starting Backtest for Session: 25MAY12_10 ---
2025-05-22 02:44:39,740 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103499.99 @ 13:02 | P(YES):0.956 P(YES):0.956 | BUY_YES x6@81c (Exec B:80, Exec A:81) | Outcome:YES | PNL:114c | Cap:$146.59
2025-05-22 02:44:39,742 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103499.99 @ 13:03 | P(YES):0.958 P(YES):0.958 | BUY_YES x7@80c (Exec B:77, Exec A:80) | Outcome:YES | PNL:140c | Cap:$147.99
2025-05-22 02:44:39,744 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103499.99 @ 13:04 | P(YES):0.956 P(YES):0.956 | BUY_YES x7@81c (Exec B:79, Exec A:81) | Outcome:YES | PNL:133c | Cap:$149.32
2025-05-22 02:44:39,745 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103499.99 @ 13:05 | P(YES):0.957 P(YES):0.957 | BUY_YES x6@82c (Exec B:78, Exec A:82) | Outcome:YES | PNL:108c | Cap:$150.40
2025-05-22 02:44:39,747 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103499.99 @ 13:06 | P(YES):0.957 P(YES):0.957 | BUY_YES x7@81c (Exec B:78, Exec A:81) | Outcome:YES | PNL:133c | Cap:$151.73
2025-05-22 02:44:39,749 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103499.99 @ 13:07 | P(YES):0.957 P(YES):0.957 | BUY_YES x7@82c (Exec B:79, Exec A:82) | Outcome:YES | PNL:126c | Cap:$152.99
2025-05-22 02:44:39,751 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103499.99 @ 13:08 | P(YES):0.958 P(YES):0.958 | BUY_YES x6@83c (Exec B:81, Exec A:83) | Outcome:YES | PNL:102c | Cap:$154.01
2025-05-22 02:44:39,753 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103499.99 @ 13:09 | P(YES):0.960 P(YES):0.960 | BUY_YES x7@83c (Exec B:80, Exec A:83) | Outcome:YES | PNL:119c | Cap:$155.20
2025-05-22 02:44:39,756 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103499.99 @ 13:10 | P(YES):0.958 P(YES):0.958 | BUY_YES x7@80c (Exec B:76, Exec A:80) | Outcome:YES | PNL:140c | Cap:$156.60
2025-05-22 02:44:39,758 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103499.99 @ 13:11 | P(YES):0.955 P(YES):0.955 | BUY_YES x6@83c (Exec B:80, Exec A:83) | Outcome:YES | PNL:102c | Cap:$157.62
2025-05-22 02:44:39,827 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103499.99 @ 13:43 | P(YES):0.957 P(YES):0.957 | BUY_YES x8@76c (Exec B:73, Exec A:76) | Outcome:YES | PNL:192c | Cap:$159.54
2025-05-22 02:44:39,838 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103749.99 @ 13:02 | P(YES):0.923 P(YES):0.923 | BUY_YES x9@66c (Exec B:63, Exec A:66) | Outcome:YES | PNL:306c | Cap:$162.60
2025-05-22 02:44:39,840 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103749.99 @ 13:03 | P(YES):0.918 P(YES):0.918 | BUY_YES x9@67c (Exec B:64, Exec A:67) | Outcome:YES | PNL:297c | Cap:$165.57
2025-05-22 02:44:39,842 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103749.99 @ 13:04 | P(YES):0.921 P(YES):0.921 | BUY_YES x9@68c (Exec B:65, Exec A:68) | Outcome:YES | PNL:288c | Cap:$168.45
2025-05-22 02:44:39,844 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103749.99 @ 13:05 | P(YES):0.923 P(YES):0.923 | BUY_YES x9@69c (Exec B:67, Exec A:69) | Outcome:YES | PNL:279c | Cap:$171.24
2025-05-22 02:44:39,846 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103749.99 @ 13:06 | P(YES):0.910 P(YES):0.910 | BUY_YES x9@68c (Exec B:64, Exec A:68) | Outcome:YES | PNL:288c | Cap:$174.12
2025-05-22 02:44:39,848 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103749.99 @ 13:07 | P(YES):0.919 P(YES):0.919 | BUY_YES x9@68c (Exec B:66, Exec A:68) | Outcome:YES | PNL:288c | Cap:$177.00
2025-05-22 02:44:39,850 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103749.99 @ 13:08 | P(YES):0.922 P(YES):0.922 | BUY_YES x9@70c (Exec B:69, Exec A:70) | Outcome:YES | PNL:270c | Cap:$179.70
2025-05-22 02:44:39,852 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103749.99 @ 13:09 | P(YES):0.927 P(YES):0.927 | BUY_YES x9@69c (Exec B:68, Exec A:69) | Outcome:YES | PNL:279c | Cap:$182.49
2025-05-22 02:44:39,854 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103749.99 @ 13:10 | P(YES):0.921 P(YES):0.921 | BUY_YES x10@65c (Exec B:61, Exec A:65) | Outcome:YES | PNL:350c | Cap:$185.99
2025-05-22 02:44:39,856 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103749.99 @ 13:11 | P(YES):0.914 P(YES):0.914 | BUY_YES x9@69c (Exec B:67, Exec A:69) | Outcome:YES | PNL:279c | Cap:$188.78
2025-05-22 02:44:39,858 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103749.99 @ 13:12 | P(YES):0.927 P(YES):0.927 | BUY_YES x7@79c (Exec B:75, Exec A:79) | Outcome:YES | PNL:147c | Cap:$190.25
2025-05-22 02:44:39,862 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103749.99 @ 13:14 | P(YES):0.949 P(YES):0.949 | BUY_YES x8@83c (Exec B:79, Exec A:83) | Outcome:YES | PNL:136c | Cap:$191.61
