2025-05-21 17:18:01,396 - INFO - Backtest_random_forest_CalV2_15m.main_backtest_loop:349 - Processing session 25MAY12_17 (logs: session_25MAY12_17_random_forest_20250521_170924.log)
2025-05-21 17:18:01,397 - INFO - utils.clear_binance_cache:53 - Utils: All Binance data caches cleared.
2025-05-21 17:18:01,397 - INFO - utils.clear_kalshi_cache:58 - Utils: Kalshi market minute data cache cleared.
2025-05-21 17:18:01,397 - INFO - Backtest_random_forest_CalV2_15m.main_backtest_loop:370 -   Session 25MAY12_17: Binance data range for TA: 2025-05-11 18:00 to 2025-05-12 22:00
2025-05-21 17:18:01,397 - INFO - utils.load_and_prepare_binance_range_with_features:197 - Utils: Preparing Binance data with features for range: 2025-05-11 to 2025-05-12
2025-05-21 17:18:01,405 - INFO - utils.load_and_prepare_binance_range_with_features:226 - Utils: Calculating TA features on combined Binance data (5760 rows)...
2025-05-21 17:18:01,409 - INFO - utils.load_and_prepare_binance_range_with_features:240 - Utils: Binance features calculated and cached for the requested range 2025-05-11 to 2025-05-12.
2025-05-21 17:18:01,409 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:110 - --- Starting Backtest for Session: 25MAY12_17 ---
2025-05-21 17:18:01,497 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 20:01 | P(YES):0.689 P(YES):0.689 | BUY_YES x7@60c (Exec B:48, Exec A:60) | Outcome:NO | PNL:-420c | Cap:$381.04
2025-05-21 17:18:01,625 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 20:04 | P(YES):0.657 P(YES):0.657 | BUY_YES x7@56c (Exec B:48, Exec A:56) | Outcome:NO | PNL:-392c | Cap:$377.12
2025-05-21 17:18:01,665 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 20:05 | P(YES):0.659 P(YES):0.659 | BUY_YES x9@53c (Exec B:48, Exec A:53) | Outcome:NO | PNL:-477c | Cap:$372.35
2025-05-21 17:18:01,745 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 20:07 | P(YES):0.669 P(YES):0.669 | BUY_YES x10@53c (Exec B:48, Exec A:53) | Outcome:NO | PNL:-530c | Cap:$367.05
2025-05-21 17:18:01,788 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 20:08 | P(YES):0.680 P(YES):0.680 | BUY_YES x12@51c (Exec B:48, Exec A:51) | Outcome:NO | PNL:-612c | Cap:$360.93
2025-05-21 17:18:01,829 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 20:09 | P(YES):0.666 P(YES):0.666 | BUY_YES x11@51c (Exec B:46, Exec A:51) | Outcome:NO | PNL:-561c | Cap:$355.32
2025-05-21 17:18:01,871 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 20:10 | P(YES):0.689 P(YES):0.689 | BUY_YES x12@51c (Exec B:46, Exec A:51) | Outcome:NO | PNL:-612c | Cap:$349.20
2025-05-21 17:18:03,339 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 20:45 | P(YES):0.666 P(YES):0.666 | BUY_YES x5@59c (Exec B:50, Exec A:59) | Outcome:NO | PNL:-295c | Cap:$346.25
2025-05-21 17:18:03,838 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 20:57 | P(YES):0.675 P(YES):0.675 | BUY_YES x7@57c (Exec B:50, Exec A:57) | Outcome:NO | PNL:-399c | Cap:$342.26
2025-05-21 17:18:04,005 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 21:01 | P(YES):0.676 P(YES):0.676 | BUY_YES x6@58c (Exec B:50, Exec A:58) | Outcome:NO | PNL:-348c | Cap:$338.78
2025-05-21 17:18:06,532 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 22:01 | P(YES):0.654 P(YES):0.654 | BUY_YES x5@58c (Exec B:50, Exec A:58) | Outcome:NO | PNL:-290c | Cap:$335.88
