2025-05-20 23:22:32,448 - INFO - ClassifierKellyBacktest.main_backtest_loop:304 - Logging for session 25MAY11_17 to: /Users/omarabul-hassan/Desktop/projects/kalshi/notebooks/logs/classifier_kelly_backtests/backtest_LogRegKelly_25MAY11_17_20250520_232215.txt
2025-05-20 23:22:32,448 - INFO - utils.clear_binance_cache:41 - Utils: All Binance data caches cleared.
2025-05-20 23:22:32,448 - INFO - utils.clear_kalshi_cache:46 - Utils: Kalshi market minute data cache cleared.
2025-05-20 23:22:32,448 - INFO - ClassifierKellyBacktest.main_backtest_loop:325 -   Session 25MAY11_17: Pre-loading Binance data from 2025-05-10 18:00 to 2025-05-11 22:00
2025-05-20 23:22:32,449 - INFO - utils.load_and_prepare_binance_range_with_features:192 - Utils: Preparing Binance data with features for range: 2025-05-10 to 2025-05-11
2025-05-20 23:22:32,460 - INFO - utils.load_and_prepare_binance_range_with_features:222 - Utils: Calculating TA features on combined Binance data (5760 rows)...
2025-05-20 23:22:32,462 - INFO - utils.load_and_prepare_binance_range_with_features:237 - Utils: Binance features calculated and cached for the requested range 2025-05-10 to 2025-05-11.
2025-05-20 23:22:32,462 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:112 - --- Starting Backtest for Session: 25MAY11_17 ---
2025-05-20 23:22:42,654 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 23:18 | P(YES):0.908 P(YES):0.908 | BUY_YES x1@67c (B:52,A:67) | Outcome:YES | PNL:33c | Cap:$10.14
2025-05-20 23:22:42,657 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 23:20 | P(YES):0.905 P(YES):0.905 | BUY_YES x1@67c (B:52,A:67) | Outcome:YES | PNL:33c | Cap:$10.47
2025-05-20 23:22:42,661 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 23:24 | P(YES):0.883 P(YES):0.883 | BUY_YES x1@67c (B:52,A:67) | Outcome:YES | PNL:33c | Cap:$10.80
2025-05-20 23:22:42,663 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 23:26 | P(YES):0.881 P(YES):0.881 | BUY_YES x1@67c (B:52,A:67) | Outcome:YES | PNL:33c | Cap:$11.13
2025-05-20 23:22:42,664 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 23:27 | P(YES):0.878 P(YES):0.878 | BUY_YES x1@67c (B:52,A:67) | Outcome:YES | PNL:33c | Cap:$11.46
2025-05-20 23:22:42,818 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 01:58 | P(YES):0.837 P(YES):0.837 | BUY_YES x1@53c (B:50,A:53) | Outcome:YES | PNL:47c | Cap:$11.93
2025-05-20 23:22:42,822 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 02:02 | P(YES):0.814 P(YES):0.814 | BUY_YES x1@55c (B:50,A:55) | Outcome:YES | PNL:45c | Cap:$12.38
2025-05-20 23:22:42,955 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:11 | P(YES):0.854 P(YES):0.854 | BUY_YES x1@60c (B:56,A:60) | Outcome:YES | PNL:40c | Cap:$12.78
2025-05-20 23:22:42,956 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:12 | P(YES):0.841 P(YES):0.841 | BUY_YES x1@60c (B:54,A:60) | Outcome:YES | PNL:40c | Cap:$13.18
2025-05-20 23:22:42,958 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:13 | P(YES):0.848 P(YES):0.848 | BUY_YES x1@60c (B:55,A:60) | Outcome:YES | PNL:40c | Cap:$13.58
2025-05-20 23:22:42,959 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:14 | P(YES):0.864 P(YES):0.864 | BUY_YES x1@60c (B:56,A:60) | Outcome:YES | PNL:40c | Cap:$13.98
2025-05-20 23:22:42,960 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:15 | P(YES):0.860 P(YES):0.860 | BUY_YES x1@60c (B:55,A:60) | Outcome:YES | PNL:40c | Cap:$14.38
2025-05-20 23:22:42,961 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:16 | P(YES):0.841 P(YES):0.841 | BUY_YES x1@60c (B:56,A:60) | Outcome:YES | PNL:40c | Cap:$14.78
2025-05-20 23:22:42,962 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:17 | P(YES):0.850 P(YES):0.850 | BUY_YES x1@60c (B:55,A:60) | Outcome:YES | PNL:40c | Cap:$15.18
2025-05-20 23:22:42,963 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:18 | P(YES):0.837 P(YES):0.837 | BUY_YES x1@60c (B:54,A:60) | Outcome:YES | PNL:40c | Cap:$15.58
2025-05-20 23:22:42,964 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:19 | P(YES):0.851 P(YES):0.851 | BUY_YES x1@63c (B:56,A:63) | Outcome:YES | PNL:37c | Cap:$15.95
2025-05-20 23:22:42,965 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:20 | P(YES):0.846 P(YES):0.846 | BUY_YES x1@64c (B:55,A:64) | Outcome:YES | PNL:36c | Cap:$16.31
2025-05-20 23:22:42,966 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:21 | P(YES):0.843 P(YES):0.843 | BUY_YES x1@64c (B:55,A:64) | Outcome:YES | PNL:36c | Cap:$16.67
2025-05-20 23:22:42,968 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:22 | P(YES):0.847 P(YES):0.847 | BUY_YES x1@63c (B:55,A:63) | Outcome:YES | PNL:37c | Cap:$17.04
2025-05-20 23:22:42,969 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:23 | P(YES):0.843 P(YES):0.843 | BUY_YES x1@63c (B:54,A:63) | Outcome:YES | PNL:37c | Cap:$17.41
