market_ticker,result,event_resolution_time_iso
KXBTCD-25MAY1522-T112249.99,no,
KXBTCD-25MAY1522-T111999.99,no,
KXBTCD-25MAY1522-T111749.99,no,
KXBTCD-25MAY1522-T111499.99,no,
KXBTCD-25MAY1522-T111249.99,no,
KXBTCD-25MAY1522-T110999.99,no,
KXBTCD-25MAY1522-T110749.99,no,
KXBTCD-25MAY1522-T110499.99,no,
KXBTCD-25MAY1522-T110249.99,no,
KXBTCD-25MAY1522-T109999.99,no,
KXBTCD-25MAY1522-T109749.99,no,
KXBTCD-25MAY1522-T109499.99,no,
KXBTCD-25MAY1522-T109249.99,no,
KXBTCD-25MAY1522-T108999.99,no,
KXBTCD-25MAY1522-T108749.99,no,
KXBTCD-25MAY1522-T108499.99,no,
KXBTCD-25MAY1522-T108249.99,no,
KXBTCD-25MAY1522-T107999.99,no,
KXBTCD-25MAY1522-T107749.99,no,
KXBTCD-25MAY1522-T107499.99,no,
KXBTCD-25MAY1522-T107249.99,no,
KXBTCD-25MAY1522-T106999.99,no,
KXBTCD-25MAY1522-T106749.99,no,
KXBTCD-25MAY1522-T106499.99,no,
KXBTCD-25MAY1522-T106249.99,no,
KXBTCD-25MAY1522-T105999.99,no,
KXBTCD-25MAY1522-T105749.99,no,
KXBTCD-25MAY1522-T105499.99,no,
KXBTCD-25MAY1522-T105249.99,no,
KXBTCD-25MAY1522-T104999.99,no,
KXBTCD-25MAY1522-T104749.99,no,
KXBTCD-25MAY1522-T104499.99,no,
KXBTCD-25MAY1522-T104249.99,no,
KXBTCD-25MAY1522-T103999.99,yes,
KXBTCD-25MAY1522-T103749.99,yes,
KXBTCD-25MAY1522-T103499.99,yes,
KXBTCD-25MAY1522-T103249.99,yes,
KXBTCD-25MAY1522-T102999.99,yes,
KXBTCD-25MAY1522-T102749.99,yes,
KXBTCD-25MAY1522-T102499.99,yes,
KXBTCD-25MAY1522-T102249.99,yes,
KXBTCD-25MAY1522-T101999.99,yes,
KXBTCD-25MAY1522-T101749.99,yes,
KXBTCD-25MAY1522-T101499.99,yes,
KXBTCD-25MAY1522-T101249.99,yes,
KXBTCD-25MAY1522-T100999.99,yes,
KXBTCD-25MAY1522-T100749.99,yes,
KXBTCD-25MAY1522-T100499.99,yes,
KXBTCD-25MAY1522-T100249.99,yes,
KXBTCD-25MAY1522-T99999.99,yes,
KXBTCD-25MAY1522-T99749.99,yes,
KXBTCD-25MAY1522-T99499.99,yes,
KXBTCD-25MAY1522-T99249.99,yes,
KXBTCD-25MAY1522-T98999.99,yes,
KXBTCD-25MAY1522-T98749.99,yes,
KXBTCD-25MAY1522-T98499.99,yes,
KXBTCD-25MAY1522-T98249.99,yes,
KXBTCD-25MAY1522-T97999.99,yes,
KXBTCD-25MAY1522-T97749.99,yes,
