market_ticker,series_ticker,timestamp_s,datetime_utc,trade_open_cents,trade_high_cents,trade_low_cents,trade_close_cents,yes_bid_open_cents,yes_bid_high_cents,yes_bid_low_cents,yes_bid_close_cents,yes_ask_open_cents,yes_ask_high_cents,yes_ask_low_cents,yes_ask_close_cents,volume,open_interest
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747324860,2025-05-15T16:01:00+00:00,,,,,0,62,0,62,56,99,56,66,0,0
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747324920,2025-05-15T16:02:00+00:00,49.0,50.0,44.0,44.0,62,62,42,45,66,66,48,50,1982,1982
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747324980,2025-05-15T16:03:00+00:00,46.0,46.0,46.0,46.0,45,49,40,49,50,55,48,54,52,2034
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747325040,2025-05-15T16:04:00+00:00,50.0,50.0,44.0,44.0,49,52,42,46,54,55,48,49,18,2052
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747325100,2025-05-15T16:05:00+00:00,48.0,48.0,48.0,48.0,46,47,42,44,49,53,46,49,1005,3057
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747325160,2025-05-15T16:06:00+00:00,49.0,49.0,45.0,45.0,44,48,40,40,49,52,41,42,337,3294
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747325220,2025-05-15T16:07:00+00:00,55.0,55.0,54.0,54.0,40,52,40,45,42,56,42,49,24,3297
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747325280,2025-05-15T16:08:00+00:00,,,,,45,45,40,41,49,49,41,43,0,3297
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747325340,2025-05-15T16:09:00+00:00,43.0,47.0,43.0,46.0,41,48,40,47,43,53,43,51,1998,5295
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747325400,2025-05-15T16:10:00+00:00,47.0,47.0,47.0,47.0,47,48,42,48,51,54,46,49,14,5309
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747325460,2025-05-15T16:11:00+00:00,48.0,48.0,40.0,42.0,48,48,35,39,49,49,38,42,526,5635
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747325520,2025-05-15T16:12:00+00:00,44.0,45.0,42.0,45.0,39,46,37,43,42,50,42,46,358,5943
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747325580,2025-05-15T16:13:00+00:00,38.0,40.0,38.0,40.0,43,43,33,37,46,46,37,40,859,6802
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747325640,2025-05-15T16:14:00+00:00,,,,,37,37,32,35,40,41,36,38,0,6802
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747325700,2025-05-15T16:15:00+00:00,38.0,38.0,38.0,38.0,35,38,31,32,38,42,35,35,20,6822
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747325760,2025-05-15T16:16:00+00:00,43.0,43.0,43.0,43.0,32,42,32,41,35,45,34,43,20,6842
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747325820,2025-05-15T16:17:00+00:00,,,,,41,43,33,38,43,45,35,40,0,0
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747325880,2025-05-15T16:18:00+00:00,41.0,45.0,41.0,45.0,38,45,31,44,40,48,33,47,900,7442
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747325940,2025-05-15T16:19:00+00:00,,,,,44,49,39,41,47,54,41,45,0,0
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747326000,2025-05-15T16:20:00+00:00,48.0,48.0,48.0,48.0,41,46,41,45,45,50,44,49,100,7442
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747326060,2025-05-15T16:21:00+00:00,53.0,58.0,53.0,58.0,45,59,45,56,49,63,46,61,1554,6888
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747326120,2025-05-15T16:22:00+00:00,45.0,45.0,39.0,39.0,56,58,34,35,61,62,38,39,800,7488
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747326180,2025-05-15T16:23:00+00:00,31.0,38.0,31.0,38.0,35,41,29,38,39,48,33,40,569,7557
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747326240,2025-05-15T16:24:00+00:00,46.0,46.0,46.0,46.0,38,48,36,42,40,51,40,44,6,7563
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747326300,2025-05-15T16:25:00+00:00,45.0,47.0,45.0,47.0,42,51,36,46,44,56,39,48,250,7563
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747326360,2025-05-15T16:26:00+00:00,50.0,50.0,50.0,50.0,46,54,41,47,48,57,45,50,1148,7813
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747326420,2025-05-15T16:27:00+00:00,43.0,43.0,43.0,43.0,47,48,37,40,50,51,41,43,10,7823
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747326480,2025-05-15T16:28:00+00:00,38.0,38.0,33.0,33.0,40,40,26,29,43,44,30,33,500,7573
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747326540,2025-05-15T16:29:00+00:00,35.0,40.0,35.0,39.0,29,39,29,38,33,43,33,39,3250,8573
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747326600,2025-05-15T16:30:00+00:00,42.0,42.0,38.0,41.0,38,41,33,37,39,45,39,41,520,8943
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747326660,2025-05-15T16:31:00+00:00,43.0,43.0,43.0,43.0,37,46,35,40,41,50,40,43,5,8948
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747326720,2025-05-15T16:32:00+00:00,,,,,40,40,26,31,43,44,31,34,0,8948
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747326780,2025-05-15T16:33:00+00:00,25.0,25.0,25.0,25.0,31,33,21,22,34,37,26,27,1410,8948
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747326840,2025-05-15T16:34:00+00:00,,,,,22,22,20,20,27,27,22,24,0,8948
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747326900,2025-05-15T16:35:00+00:00,,,,,20,32,20,29,24,37,23,33,0,8948
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747326960,2025-05-15T16:36:00+00:00,40.0,45.0,40.0,45.0,29,45,27,42,33,50,32,48,300,9248
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747327020,2025-05-15T16:37:00+00:00,40.0,40.0,40.0,40.0,42,56,40,56,48,61,46,60,179,9427
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747327080,2025-05-15T16:38:00+00:00,63.0,65.0,62.0,62.0,56,62,52,60,60,69,58,65,64,9429
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747327140,2025-05-15T16:39:00+00:00,65.0,65.0,59.0,60.0,60,60,53,56,65,67,58,62,52,9481
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747327200,2025-05-15T16:40:00+00:00,78.0,78.0,78.0,78.0,56,76,56,72,62,81,62,76,10,9481
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747327260,2025-05-15T16:41:00+00:00,72.0,72.0,66.0,66.0,72,75,62,75,76,80,66,80,16,9482
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747327320,2025-05-15T16:42:00+00:00,79.0,81.0,79.0,81.0,75,79,72,74,80,84,75,76,40,9462
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747327380,2025-05-15T16:43:00+00:00,76.0,90.0,76.0,89.0,74,90,72,90,76,91,75,91,331,9492
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747327440,2025-05-15T16:44:00+00:00,,,,,90,91,87,90,91,95,91,95,0,9492
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747327500,2025-05-15T16:45:00+00:00,95.0,95.0,95.0,95.0,90,96,90,96,95,98,93,97,40,9532
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747327560,2025-05-15T16:46:00+00:00,96.0,96.0,96.0,96.0,96,96,92,92,97,100,95,95,300,9532
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747327620,2025-05-15T16:47:00+00:00,97.0,97.0,93.0,93.0,92,94,92,93,95,99,95,98,206,9368
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747327680,2025-05-15T16:48:00+00:00,99.0,99.0,99.0,99.0,93,95,93,94,98,100,97,99,1400,8685
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747327740,2025-05-15T16:49:00+00:00,93.0,98.0,93.0,98.0,94,95,92,94,99,100,98,100,20,8682
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747327800,2025-05-15T16:50:00+00:00,,,,,94,95,93,94,100,100,99,100,0,8682
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747327860,2025-05-15T16:51:00+00:00,,,,,94,94,92,94,100,100,100,100,0,8682
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747327920,2025-05-15T16:52:00+00:00,,,,,94,94,94,94,100,100,100,100,0,8682
KXBTCD-25MAY1513-T103249.99,KXBTCD,1747327980,2025-05-15T16:53:00+00:00,,,,,94,94,94,94,100,100,100,100,0,8682
