trade_execution_time_utc,market_ticker,strike_price,resolution_time_ts,decision_timestamp_s,time_to_resolution_minutes,action,predicted_prob_yes,bet_cost_cents_per_contract,contracts_traded,actual_outcome_target,pnl_cents,current_capital_before_trade_cents,kelly_fraction_f_star,capital_to_risk_cents,trade_value_cents
2025-05-22T01:31:00+00:00,KXBTCD-25MAY2122-T109749.99,109749.99,1747879200,1747877460,29.00,BUY_YES,0.9244,92,18,1,144,61986,0.0551 if live_cfg.USE_KELLY_CRITERION else '',1708,1656
2025-05-22T01:31:00+00:00,KXBTCD-25MAY2122-T109499.99,109499.99,1747879200,1747877460,29.00,BUY_YES,0.9549,95,32,1,160,62130,0.0980 if live_cfg.USE_KELLY_CRITERION else '',3045,3040
2025-05-22T01:34:00+00:00,KXBTCD-25MAY2122-T109499.99,109499.99,1747879200,1747877640,26.00,BUY_YES,0.9435,94,19,1,114,62290,0.0584 if live_cfg.USE_KELLY_CRITERION else '',1818,1786
2025-05-22T01:39:00+00:00,KXBTCD-25MAY2122-T109499.99,109499.99,1747879200,1747877940,21.00,BUY_YES,0.9117,91,6,1,54,62404,0.0187 if live_cfg.USE_KELLY_CRITERION else '',584,546
2025-05-22T01:40:00+00:00,KXBTCD-25MAY2122-T109499.99,109499.99,1747879200,1747878000,20.00,BUY_YES,0.9232,92,13,1,104,62458,0.0401 if live_cfg.USE_KELLY_CRITERION else '',1253,1196
2025-05-22T01:41:00+00:00,KXBTCD-25MAY2122-T109499.99,109499.99,1747879200,1747878060,19.00,BUY_YES,0.9405,94,2,1,12,62562,0.0076 if live_cfg.USE_KELLY_CRITERION else '',237,188
2025-05-22T01:43:00+00:00,KXBTCD-25MAY2122-T109499.99,109499.99,1747879200,1747878180,17.00,BUY_YES,0.9536,95,23,1,115,62574,0.0722 if live_cfg.USE_KELLY_CRITERION else '',2258,2185
2025-05-22T01:44:00+00:00,KXBTCD-25MAY2122-T109499.99,109499.99,1747879200,1747878240,16.00,BUY_YES,0.9437,94,20,1,120,62689,0.0614 if live_cfg.USE_KELLY_CRITERION else '',1923,1880
2025-05-22T01:44:00+00:00,KXBTCD-25MAY2122-T110499.99,110499.99,1747879200,1747878240,16.00,BUY_NO,0.0864,91,13,0,117,62809,0.0397 if live_cfg.USE_KELLY_CRITERION else '',1248,1183
2025-05-22T01:45:00+00:00,KXBTCD-25MAY2122-T110499.99,110499.99,1747879200,1747878300,15.00,BUY_NO,0.0655,93,21,0,147,62926,0.0644 if live_cfg.USE_KELLY_CRITERION else '',2025,1953
2025-05-22T01:45:00+00:00,KXBTCD-25MAY2122-T109499.99,109499.99,1747879200,1747878300,15.00,BUY_YES,0.9449,94,27,1,162,63073,0.0810 if live_cfg.USE_KELLY_CRITERION else '',2553,2538
2025-05-22T01:46:00+00:00,KXBTCD-25MAY2122-T109499.99,109499.99,1747879200,1747878360,14.00,BUY_YES,0.9606,96,4,1,16,63235,0.0144 if live_cfg.USE_KELLY_CRITERION else '',457,384
2025-05-22T01:47:00+00:00,KXBTCD-25MAY2122-T110499.99,110499.99,1747879200,1747878420,13.00,BUY_NO,0.0894,91,2,0,18,63251,0.0061 if live_cfg.USE_KELLY_CRITERION else '',194,182
2025-05-22T01:47:00+00:00,KXBTCD-25MAY2122-T109499.99,109499.99,1747879200,1747878420,13.00,BUY_YES,0.9638,96,31,1,124,63269,0.0952 if live_cfg.USE_KELLY_CRITERION else '',3011,2976
2025-05-22T01:48:00+00:00,KXBTCD-25MAY2122-T110249.99,110249.99,1747879200,1747878480,12.00,BUY_NO,0.0693,93,3,0,21,63393,0.0103 if live_cfg.USE_KELLY_CRITERION else '',327,279
2025-05-22T01:49:00+00:00,KXBTCD-25MAY2122-T110499.99,110499.99,1747879200,1747878540,11.00,BUY_NO,0.0694,93,2,0,14,63414,0.0080 if live_cfg.USE_KELLY_CRITERION else '',254,186
2025-05-22T01:51:00+00:00,KXBTCD-25MAY2122-T109749.99,109749.99,1747879200,1747878660,9.00,BUY_YES,0.9319,93,9,1,63,63428,0.0277 if live_cfg.USE_KELLY_CRITERION else '',878,837
2025-05-22T01:51:00+00:00,KXBTCD-25MAY2122-T110499.99,110499.99,1747879200,1747878660,9.00,BUY_NO,0.0694,93,2,0,14,63491,0.0086 if live_cfg.USE_KELLY_CRITERION else '',275,186
