reception_timestamp_utc,kline_start_time_ms,kline_close_time_ms,symbol,interval,open_price,close_price,high_price,low_price,base_asset_volume,number_of_trades,is_kline_closed,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,stream_name
2025-05-20T21:00:20.067383Z,1747774800000,1747774859999,BTCUSDT,1m,106909.09000000,106917.98000000,106917.99000000,106909.09000000,7.37902000,585,False,788899.38092340,1.12698000,120487.12472090,btcusdt@kline_1m
2025-05-20T21:00:22.082802Z,1747774800000,1747774859999,BTCUSDT,1m,106909.09000000,106917.99000000,106917.99000000,106909.09000000,7.60393000,598,False,812946.30380780,1.12724000,120514.92339830,btcusdt@kline_1m
2025-05-20T21:00:24.069265Z,1747774800000,1747774859999,BTCUSDT,1m,106909.09000000,106900.01000000,106917.99000000,106900.01000000,8.98481000,1031,False,960578.59919880,1.22558000,131027.71823730,btcusdt@kline_1m
2025-05-20T21:00:26.062771Z,1747774800000,1747774859999,BTCUSDT,1m,106909.09000000,106900.02000000,106917.99000000,106900.01000000,9.00124000,1046,False,962334.96637160,1.22643000,131118.58325430,btcusdt@kline_1m
2025-05-20T21:00:28.067948Z,1747774800000,1747774859999,BTCUSDT,1m,106909.09000000,106900.02000000,106917.99000000,106900.01000000,9.24388000,1074,False,988273.18494620,1.24125000,132702.84155070,btcusdt@kline_1m
2025-05-20T21:00:30.063125Z,1747774800000,1747774859999,BTCUSDT,1m,106909.09000000,106900.02000000,106917.99000000,106900.01000000,9.71017000,1104,False,1038119.59061540,1.24188000,132770.18856330,btcusdt@kline_1m
2025-05-20T21:00:32.065563Z,1747774800000,1747774859999,BTCUSDT,1m,106909.09000000,106892.30000000,106917.99000000,106892.30000000,10.60212000,1315,False,1133468.52641350,1.24218000,132802.25776080,btcusdt@kline_1m
2025-05-20T21:00:34.075764Z,1747774800000,1747774859999,BTCUSDT,1m,106909.09000000,106885.18000000,106917.99000000,106885.17000000,12.07621000,1470,False,1291033.26048060,1.25632000,134313.61420600,btcusdt@kline_1m
2025-05-20T21:00:36.067725Z,1747774800000,1747774859999,BTCUSDT,1m,106909.09000000,106870.89000000,106917.99000000,106870.89000000,16.94155000,1719,False,1811018.49660230,1.27979000,136822.20722950,btcusdt@kline_1m
2025-05-20T21:00:38.062975Z,1747774800000,1747774859999,BTCUSDT,1m,106909.09000000,106843.87000000,106917.99000000,106843.87000000,18.27075000,2256,False,1953056.75753760,1.39709000,149358.08427350,btcusdt@kline_1m
