decision_timestamp_utc,market_ticker,kalshi_strike_price,predicted_proba_yes,model_prob_chosen_side,kalshi_yes_bid_at_decision_t,kalshi_yes_ask_at_decision_t,executed_trade_action,num_contracts_sim,simulated_entry_price_cents,pnl_cents,actual_market_result,capital_after_trade
2025-05-19T23:06:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.7188,,81.0,87.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:07:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.7683,,83.0,88.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:08:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.7686,,81.0,82.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:09:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.7035,,80.0,81.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:10:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.6773,,82.0,83.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:11:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.6966,,82.0,84.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:12:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.6958,,79.0,82.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:13:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.6994,,79.0,81.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:14:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.6866,,77.0,81.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:15:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.6839,,78.0,79.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:16:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.6742,,79.0,80.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:17:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.7047,,79.0,83.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:18:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.6652,,75.0,76.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:19:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.5412,,67.0,69.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:20:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.4395,,67.0,69.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:21:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.431,,72.0,74.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:22:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.5086,,61.0,66.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:23:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.4371,,70.0,71.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:24:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.4285,,63.0,69.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:25:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.4606,,63.0,66.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:26:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.4134,,62.0,64.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:27:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.387,,55.0,59.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:28:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.2488,,50.0,53.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:29:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.2286,,49.0,53.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:30:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.2292,,49.0,50.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:31:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.2069,,52.0,54.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:32:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.1981,,50.0,55.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:33:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.2141,,59.0,60.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:34:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.2337,,60.0,64.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:35:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.3507,,63.0,68.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:36:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.3692,,55.0,60.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:37:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.2629,,52.0,56.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:38:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.2677,,55.0,59.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:39:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.3345,,58.0,64.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:40:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.3844,,61.0,62.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:41:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.4202,,84.0,86.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:42:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.6472,,68.0,72.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:43:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.4024,,61.0,66.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:44:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.4102,,69.0,73.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:45:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.4541,,83.0,86.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:46:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.6536,,87.0,92.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:47:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.7297,,85.0,91.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:48:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.7075,,87.0,93.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:49:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.7065,,87.0,88.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:50:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.6874,,90.0,91.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:51:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.777,,97.0,98.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:52:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8383,,97.0,,NO_TRADE,0,,,yes,500.0
2025-05-19T23:53:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.6524,,99.0,,NO_TRADE,0,,,yes,500.0
2025-05-19T23:54:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.6055,,98.0,,NO_TRADE,0,,,yes,500.0
2025-05-19T23:55:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.5707,,94.0,97.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:08:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.4872,,51.0,57.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:09:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.2435,,50.0,56.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:10:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.2285,,51.0,56.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:11:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.2388,,49.0,55.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:12:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1486,,43.0,50.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:13:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.101,,40.0,48.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:14:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1287,,39.0,45.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:15:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1261,,35.0,42.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:16:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1665,,38.0,42.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:17:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1644,,37.0,42.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:18:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1442,,25.0,33.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:19:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1939,,28.0,29.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:20:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1828,,27.0,29.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:21:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1747,,31.0,32.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:22:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1943,,23.0,24.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:23:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1235,,27.0,28.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:24:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1512,,22.0,24.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:25:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1311,,19.0,21.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:26:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1274,,18.0,19.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:27:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1002,,14.0,15.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:28:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.0706,,9.0,13.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:29:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.069,,9.0,13.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:30:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.0643,,11.0,13.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:31:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.0761,,9.0,11.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:32:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.061,,9.0,11.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:33:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.0625,,12.0,17.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:34:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.0674,,12.0,16.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:35:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.0708,,14.0,18.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:36:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.0583,,11.0,12.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:37:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.0512,,10.0,12.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:38:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.0416,,11.0,12.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:39:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.0603,,11.0,12.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:40:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.0601,,11.0,12.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:41:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.0921,,27.0,28.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:42:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1251,,15.0,19.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:43:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.0532,,11.0,14.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:44:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.0437,,13.0,15.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:45:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.0924,,23.0,26.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:46:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1103,,30.0,31.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:47:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1539,,25.0,28.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:48:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1287,,20.0,24.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:49:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.0928,,12.0,16.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:50:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.108,,14.0,17.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:51:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1028,,28.0,33.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:52:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1418,,28.0,33.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:53:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1454,,32.0,37.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:54:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1672,,11.0,15.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:55:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.0898,,4.0,7.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:09:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.3313,,27.0,29.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:10:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.116,,28.0,29.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:11:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.1118,,25.0,29.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:12:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0901,,20.0,25.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:13:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0447,,23.0,25.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:14:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0568,,17.0,23.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:15:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.053,,16.0,21.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:16:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0351,,14.0,20.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:17:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0414,,13.0,16.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:18:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0508,,8.0,15.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:19:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0398,,7.0,13.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:20:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0366,,7.0,8.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:21:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0274,,8.0,13.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:22:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0438,,5.0,11.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:23:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0303,,5.0,11.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:24:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0261,,5.0,11.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:25:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0275,,5.0,6.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:26:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0158,,,,NO_TRADE,0,,,no,500.0
2025-05-19T23:27:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0215,,,,NO_TRADE,0,,,no,500.0
2025-05-19T23:28:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.011,,,,NO_TRADE,0,,,no,500.0
2025-05-19T23:29:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0054,,,,NO_TRADE,0,,,no,500.0
2025-05-19T23:30:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.007,,,,NO_TRADE,0,,,no,500.0
2025-05-19T23:31:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0047,,2.0,5.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:32:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0088,,,,NO_TRADE,0,,,no,500.0
2025-05-19T23:33:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0095,,2.0,5.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:34:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0098,,,,NO_TRADE,0,,,no,500.0
2025-05-19T23:35:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0047,,,,NO_TRADE,0,,,no,500.0
2025-05-19T23:36:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0093,,2.0,5.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:37:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0079,,1.0,3.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:38:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0106,,,,NO_TRADE,0,,,no,500.0
2025-05-19T23:39:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0072,,,,NO_TRADE,0,,,no,500.0
2025-05-19T23:40:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0072,,1.0,3.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:41:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0076,,,5.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:42:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.1745,,,5.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:43:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.2251,,,3.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:44:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.2208,,,,NO_TRADE,0,,,no,500.0
2025-05-19T23:45:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.2897,,,5.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:46:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.3022,,3.0,6.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:47:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0099,,3.0,6.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:48:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0118,,1.0,5.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:49:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0067,,1.0,5.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:50:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.007,,1.0,4.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:51:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.0074,,,3.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:52:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.1744,,,1.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:53:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.2018,,,1.0,NO_TRADE,0,,,no,500.0
2025-05-19T23:54:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.2036,,,,NO_TRADE,0,,,no,500.0
2025-05-19T23:55:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,0.2883,,,,NO_TRADE,0,,,no,500.0
2025-05-20T18:02:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.3353,,40.0,48.0,NO_TRADE,0,,,no,500.0
2025-05-20T18:03:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.0804,0.9196,46.0,49.0,BUY_NO,38,54.0,1748.0,no,517.48
2025-05-20T18:04:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.1115,,53.0,56.0,NO_TRADE,0,,,no,517.48
2025-05-20T18:05:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.2058,,53.0,56.0,NO_TRADE,0,,,no,517.48
2025-05-20T18:06:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.2434,,51.0,58.0,NO_TRADE,0,,,no,517.48
2025-05-20T18:07:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.3203,,66.0,69.0,NO_TRADE,0,,,no,517.48
2025-05-20T18:08:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.3457,,58.0,61.0,NO_TRADE,0,,,no,517.48
2025-05-20T18:09:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.2714,,65.0,67.0,NO_TRADE,0,,,no,517.48
2025-05-20T18:10:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.3452,,61.0,64.0,NO_TRADE,0,,,no,517.48
2025-05-20T18:11:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.3668,,70.0,73.0,NO_TRADE,0,,,no,517.48
2025-05-20T18:12:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.4547,,66.0,69.0,NO_TRADE,0,,,no,517.48
2025-05-20T18:13:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.4224,,71.0,76.0,NO_TRADE,0,,,no,517.48
2025-05-20T18:14:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.4694,,70.0,72.0,NO_TRADE,0,,,no,517.48
2025-05-20T18:15:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.4105,,56.0,58.0,NO_TRADE,0,,,no,517.48
2025-05-20T18:16:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.3121,,62.0,65.0,NO_TRADE,0,,,no,517.48
2025-05-20T18:17:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.3192,,41.0,44.0,NO_TRADE,0,,,no,517.48
2025-05-20T18:18:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.1779,,40.0,48.0,NO_TRADE,0,,,no,517.48
2025-05-20T18:19:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.1783,,46.0,50.0,NO_TRADE,0,,,no,517.48
2025-05-20T18:20:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.1897,,47.0,51.0,NO_TRADE,0,,,no,517.48
2025-05-20T18:21:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.1557,,44.0,48.0,NO_TRADE,0,,,no,517.48
2025-05-20T18:22:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.2299,,23.0,28.0,NO_TRADE,0,,,no,517.48
2025-05-20T18:23:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.1213,,17.0,21.0,NO_TRADE,0,,,no,517.48
2025-05-20T18:24:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.1463,,22.0,26.0,NO_TRADE,0,,,no,517.48
2025-05-20T18:25:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,0.1266,,23.0,25.0,NO_TRADE,0,,,no,517.48
