decision_timestamp_utc,market_ticker,kalshi_strike_price,predicted_proba_yes,model_prob_chosen_side,kalshi_yes_bid_at_decision,kalshi_yes_ask_at_decision,executed_trade_action,num_contracts_sim,simulated_entry_price_cents,pnl_cents,actual_market_result,capital_after_trade
2025-05-19T23:06:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9803,0.9803,81.0,87.0,BUY_YES,24,87.0,312.0,yes,503.12
2025-05-19T23:07:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9827,0.9827,83.0,88.0,BUY_YES,24,88.0,288.0,yes,506.0
2025-05-19T23:08:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9783,0.9783,81.0,82.0,BUY_YES,27,82.0,486.0,yes,510.86
2025-05-19T23:09:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9771,0.9771,80.0,81.0,BUY_YES,27,81.0,513.0,yes,515.99
2025-05-19T23:10:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9815,0.9815,82.0,83.0,BUY_YES,27,83.0,459.0,yes,520.58
2025-05-19T23:11:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9804,0.9804,82.0,84.0,BUY_YES,27,84.0,432.0,yes,524.9
2025-05-19T23:12:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9748,0.9748,79.0,82.0,BUY_YES,27,82.0,486.0,yes,529.76
2025-05-19T23:13:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9746,0.9746,79.0,81.0,BUY_YES,28,81.0,532.0,yes,535.08
2025-05-19T23:14:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9724,0.9724,77.0,81.0,BUY_YES,28,81.0,532.0,yes,540.4
2025-05-19T23:15:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9722,0.9722,78.0,79.0,BUY_YES,29,79.0,609.0,yes,546.49
2025-05-19T23:16:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9718,0.9718,79.0,80.0,BUY_YES,29,80.0,580.0,yes,552.29
2025-05-19T23:17:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9734,0.9734,79.0,83.0,BUY_YES,28,83.0,476.0,yes,557.05
2025-05-19T23:18:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.965,0.965,75.0,76.0,BUY_YES,31,76.0,744.0,yes,564.49
2025-05-19T23:19:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9493,0.9493,67.0,69.0,BUY_YES,34,69.0,1054.0,yes,575.03
2025-05-19T23:20:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9476,0.9476,67.0,69.0,BUY_YES,34,69.0,1054.0,yes,585.57
2025-05-19T23:21:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9575,0.9575,72.0,74.0,BUY_YES,33,74.0,858.0,yes,594.15
2025-05-19T23:22:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9203,0.9203,61.0,66.0,BUY_YES,34,66.0,1156.0,yes,605.71
2025-05-19T23:23:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.946,0.946,70.0,71.0,BUY_YES,34,71.0,986.0,yes,615.57
2025-05-19T23:24:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9227,0.9227,63.0,69.0,BUY_YES,33,69.0,1023.0,yes,625.8
2025-05-19T23:25:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.93,0.93,63.0,66.0,BUY_YES,37,66.0,1258.0,yes,638.38
2025-05-19T23:26:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9082,0.9082,62.0,64.0,BUY_YES,37,64.0,1332.0,yes,651.7
2025-05-19T23:27:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8889,0.8889,55.0,59.0,BUY_YES,40,59.0,1640.0,yes,668.1
2025-05-19T23:28:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8407,0.8407,50.0,53.0,BUY_YES,41,53.0,1927.0,yes,687.37
2025-05-19T23:29:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8261,0.8261,49.0,53.0,BUY_YES,40,53.0,1880.0,yes,706.17
2025-05-19T23:30:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8108,0.8108,49.0,50.0,BUY_YES,43,50.0,2150.0,yes,727.67
2025-05-19T23:31:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8205,0.8205,52.0,54.0,BUY_YES,41,54.0,1886.0,yes,746.53
2025-05-19T23:32:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.7985,0.7985,50.0,55.0,BUY_YES,37,55.0,1665.0,yes,763.18
2025-05-19T23:33:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8677,0.8677,59.0,60.0,BUY_YES,42,60.0,1680.0,yes,779.98
2025-05-19T23:34:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8743,0.8743,60.0,64.0,BUY_YES,39,64.0,1404.0,yes,794.02
2025-05-19T23:35:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.905,0.905,63.0,68.0,BUY_YES,41,68.0,1312.0,yes,807.14
2025-05-19T23:36:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8606,0.8606,55.0,60.0,BUY_YES,43,60.0,1720.0,yes,824.34
2025-05-19T23:37:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8585,0.8585,52.0,56.0,BUY_YES,49,56.0,2156.0,yes,845.9
2025-05-19T23:38:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8688,0.8688,55.0,59.0,BUY_YES,48,59.0,1968.0,yes,865.58
2025-05-19T23:39:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8915,0.8915,58.0,64.0,BUY_YES,47,64.0,1692.0,yes,882.5
2025-05-19T23:40:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8888,0.8888,61.0,62.0,BUY_YES,50,62.0,1900.0,yes,901.5
2025-05-19T23:41:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9668,0.9668,84.0,86.0,BUY_YES,39,86.0,546.0,yes,906.96
2025-05-19T23:42:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9308,0.9308,68.0,72.0,BUY_YES,47,72.0,1316.0,yes,920.12
2025-05-19T23:43:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9251,0.9251,61.0,66.0,BUY_YES,50,66.0,1700.0,yes,937.12
2025-05-19T23:44:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9412,0.9412,69.0,73.0,BUY_YES,50,73.0,1350.0,yes,950.62
2025-05-19T23:45:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9792,0.9792,83.0,86.0,BUY_YES,47,86.0,658.0,yes,957.2
2025-05-19T23:46:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9791,,87.0,92.0,NO_TRADE,0,,,yes,957.2
2025-05-19T23:47:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9787,,85.0,91.0,NO_TRADE,0,,,yes,957.2
2025-05-19T23:48:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9842,,87.0,93.0,NO_TRADE,0,,,yes,957.2
2025-05-19T23:49:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9856,0.9856,87.0,88.0,BUY_YES,47,88.0,564.0,yes,962.84
2025-05-19T23:50:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9884,,90.0,91.0,NO_TRADE,0,,,yes,962.84
2025-05-19T23:51:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9916,,97.0,98.0,NO_TRADE,0,,,yes,962.84
2025-05-19T23:52:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8321,,97.0,,NO_TRADE,0,,,yes,962.84
2025-05-19T23:53:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8391,,99.0,,NO_TRADE,0,,,yes,962.84
2025-05-19T23:54:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8446,,98.0,,NO_TRADE,0,,,yes,962.84
2025-05-19T23:55:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9925,,94.0,97.0,NO_TRADE,0,,,yes,962.84
2025-05-19T23:08:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.8264,0.8264,51.0,57.0,BUY_YES,50,57.0,-2850.0,no,934.34
2025-05-19T23:09:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.8148,0.8148,50.0,56.0,BUY_YES,48,56.0,-2688.0,no,907.46
2025-05-19T23:10:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.8374,0.8374,51.0,56.0,BUY_YES,50,56.0,-2800.0,no,879.46
2025-05-19T23:11:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.8061,0.8061,49.0,55.0,BUY_YES,45,55.0,-2475.0,no,854.71
2025-05-19T23:12:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.75,0.75,43.0,50.0,BUY_YES,42,50.0,-2100.0,no,833.71
2025-05-19T23:13:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.7199,0.7199,40.0,48.0,BUY_YES,40,48.0,-1920.0,no,814.51
2025-05-19T23:14:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.6908,0.6908,39.0,45.0,BUY_YES,39,45.0,-1755.0,no,796.96
2025-05-19T23:15:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.6317,,35.0,42.0,NO_TRADE,0,,,no,796.96
2025-05-19T23:16:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.6287,,38.0,42.0,NO_TRADE,0,,,no,796.96
2025-05-19T23:17:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.6109,,37.0,42.0,NO_TRADE,0,,,no,796.96
2025-05-19T23:18:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.4548,,25.0,33.0,NO_TRADE,0,,,no,796.96
2025-05-19T23:19:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.4563,,28.0,29.0,NO_TRADE,0,,,no,796.96
2025-05-19T23:20:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.428,,27.0,29.0,NO_TRADE,0,,,no,796.96
2025-05-19T23:21:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.4758,,31.0,32.0,NO_TRADE,0,,,no,796.96
2025-05-19T23:22:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.3238,,23.0,24.0,NO_TRADE,0,,,no,796.96
2025-05-19T23:23:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.3956,,27.0,28.0,NO_TRADE,0,,,no,796.96
2025-05-19T23:24:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.3211,,22.0,24.0,NO_TRADE,0,,,no,796.96
2025-05-19T23:25:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.3072,,19.0,21.0,NO_TRADE,0,,,no,796.96
2025-05-19T23:26:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.2531,,18.0,19.0,NO_TRADE,0,,,no,796.96
2025-05-19T23:27:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.2259,,14.0,15.0,NO_TRADE,0,,,no,796.96
2025-05-19T23:28:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1682,,9.0,13.0,NO_TRADE,0,,,no,796.96
2025-05-19T23:29:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,0.1585,,9.0,13.0,NO_TRADE,0,,,no,796.96
