decision_timestamp_utc,market_ticker,kalshi_strike_price,predicted_btc_diff_from_strike,trade_action,num_contracts_sim,kalshi_yes_bid_at_decision,kalshi_yes_ask_at_decision,simulated_entry_price_cents,pnl_cents
2025-05-20T22:24:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,349.79,NO_TRADE,0,52.0,57.0,,
2025-05-20T22:25:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,492.3,NO_TRADE,0,56.0,62.0,,
2025-05-20T22:26:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,735.92,NO_TRADE,0,65.0,75.0,,
2025-05-20T22:27:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1016.27,BUY_YES,50,79.0,85.0,85.0,750.0
2025-05-20T22:28:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,879.26,BUY_YES,50,82.0,90.0,90.0,500.0
2025-05-20T22:29:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,978.66,BUY_YES,50,88.0,90.0,90.0,500.0
2025-05-20T22:30:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1145.16,BUY_YES,50,88.0,90.0,90.0,500.0
2025-05-20T22:31:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1316.51,BUY_YES,50,90.0,96.0,96.0,200.0
2025-05-20T22:33:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1358.27,BUY_YES,50,90.0,97.0,97.0,150.0
2025-05-20T22:35:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1361.99,BUY_YES,50,90.0,96.0,96.0,200.0
2025-05-20T22:36:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1230.9,BUY_YES,50,81.0,86.0,86.0,700.0
2025-05-20T22:37:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1257.42,BUY_YES,50,83.0,90.0,90.0,500.0
2025-05-20T22:38:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1254.71,BUY_YES,50,85.0,90.0,90.0,500.0
2025-05-20T22:39:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1277.56,BUY_YES,50,88.0,90.0,90.0,500.0
2025-05-20T22:40:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1244.23,BUY_YES,50,92.0,97.0,97.0,150.0
2025-05-20T22:41:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1307.16,BUY_YES,50,94.0,98.0,98.0,100.0
2025-05-20T22:43:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1435.35,BUY_YES,50,96.0,99.0,99.0,50.0
2025-05-20T22:47:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1574.06,BUY_YES,50,98.0,99.0,99.0,50.0
2025-05-20T22:55:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1665.93,BUY_YES,50,97.0,99.0,99.0,50.0
2025-05-20T22:18:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,338.79,NO_TRADE,0,48.0,57.0,,
2025-05-20T22:19:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,163.23,NO_TRADE,0,40.0,51.0,,
2025-05-20T22:20:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,280.78,NO_TRADE,0,44.0,54.0,,
2025-05-20T22:21:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,134.65,NO_TRADE,0,40.0,45.0,,
2025-05-20T22:22:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,161.72,NO_TRADE,0,31.0,35.0,,
2025-05-20T22:23:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,63.32,NO_TRADE,0,32.0,39.0,,
2025-05-20T22:24:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,37.88,NO_TRADE,0,26.0,37.0,,
2025-05-20T22:25:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,33.44,NO_TRADE,0,30.0,39.0,,
2025-05-20T22:26:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,60.42,NO_TRADE,0,38.0,54.0,,
2025-05-20T22:27:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,223.24,NO_TRADE,0,48.0,63.0,,
2025-05-20T22:28:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,408.4,NO_TRADE,0,63.0,79.0,,
2025-05-20T22:29:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,407.47,NO_TRADE,0,64.0,65.0,,
2025-05-20T22:30:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,715.91,NO_TRADE,0,69.0,82.0,,
2025-05-20T22:31:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,757.24,BUY_YES,10,73.0,76.0,76.0,240.0
2025-05-20T22:32:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,917.4,BUY_YES,50,71.0,72.0,72.0,1400.0
2025-05-20T22:33:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,825.22,BUY_YES,46,68.0,73.0,73.0,1242.0
2025-05-20T22:34:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,939.8,BUY_YES,50,71.0,74.0,74.0,1300.0
2025-05-20T22:35:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,877.54,BUY_YES,50,66.0,72.0,72.0,1400.0
2025-05-20T22:36:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,670.04,NO_TRADE,0,49.0,53.0,,
2025-05-20T22:37:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,687.28,NO_TRADE,0,51.0,60.0,,
2025-05-20T22:38:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,655.53,NO_TRADE,0,52.0,59.0,,
2025-05-20T22:39:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,693.55,NO_TRADE,0,59.0,65.0,,
2025-05-20T22:40:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,550.54,NO_TRADE,0,65.0,70.0,,
2025-05-20T22:41:00+00:00,KXBTCD-25MAY2019-T106249.99,106249.99,645.54,NO_TRADE,0,69.0,70.0,,
