timestamp,market_ticker,type,yes_bid_price_cents,yes_bid_qty,yes_ask_price_cents,yes_ask_qty_on_no_side,sequence_num,delta_side,delta_price_cents,delta_quantity
2025-05-22T17:06:00.029039,KXBTCD-25MAY2221-T111999.99,SNAPSHOT,15,50,16,200,1,,,
2025-05-22T17:06:00.326522,KXBTCD-25MAY2221-T111999.99,DELTA,15,50,16,200,2,yes,11,-1250
2025-05-22T17:06:00.347548,KXBTCD-25MAY2221-T111999.99,DELTA,15,50,16,200,3,no,79,-2000
2025-05-22T17:06:00.347648,KXBTCD-25MAY2221-T111999.99,DELTA,15,50,16,200,4,no,80,-1250
2025-05-22T17:06:00.347702,KXBTCD-25MAY2221-T111999.99,DELTA,15,50,16,200,5,yes,11,-500
2025-05-22T17:06:00.368460,KXBTCD-25MAY2221-T111999.99,DELTA,15,50,19,1000,6,no,84,-200
2025-05-22T17:06:00.428085,KXBTCD-25MAY2221-T111999.99,DELTA,15,50,19,1000,7,yes,6,250
2025-05-22T17:06:00.428181,KXBTCD-25MAY2221-T111999.99,DELTA,15,50,19,1000,8,no,72,-250
2025-05-22T17:06:00.428247,KXBTCD-25MAY2221-T111999.99,DELTA,15,50,18,250,9,no,82,250
2025-05-22T17:06:00.428309,KXBTCD-25MAY2221-T111999.99,DELTA,15,50,18,250,10,no,4,-8100
2025-05-22T17:06:00.428364,KXBTCD-25MAY2221-T111999.99,DELTA,15,50,18,250,11,no,6,5400
2025-05-22T17:06:00.446719,KXBTCD-25MAY2221-T111999.99,DELTA,15,50,18,250,12,yes,12,-1000
2025-05-22T17:06:00.446796,KXBTCD-25MAY2221-T111999.99,DELTA,15,50,18,250,13,no,81,1250
2025-05-22T17:06:00.467050,KXBTCD-25MAY2221-T111999.99,DELTA,15,50,18,250,14,no,80,2000
2025-05-22T17:06:00.507340,KXBTCD-25MAY2221-T111999.99,DELTA,15,50,18,250,15,yes,10,400
2025-05-22T17:06:00.565976,KXBTCD-25MAY2221-T111999.99,DELTA,14,82,18,250,16,yes,15,-50
2025-05-22T17:06:00.566160,KXBTCD-25MAY2221-T111999.99,DELTA,14,82,15,50,17,no,85,50
2025-05-22T17:06:00.588488,KXBTCD-25MAY2221-T111999.99,DELTA,14,82,15,50,18,yes,5,1250
2025-05-22T17:06:00.588589,KXBTCD-25MAY2221-T111999.99,DELTA,14,82,15,50,19,no,5,-20000
2025-05-22T17:06:00.588648,KXBTCD-25MAY2221-T111999.99,DELTA,14,82,15,50,20,yes,11,1000
2025-05-22T17:06:00.588806,KXBTCD-25MAY2221-T111999.99,DELTA,14,82,15,50,21,no,81,-1000
2025-05-22T17:06:00.667253,KXBTCD-25MAY2221-T111999.99,DELTA,14,82,15,50,22,no,83,1000
2025-05-22T17:06:00.667343,KXBTCD-25MAY2221-T111999.99,DELTA,14,82,15,50,23,no,7,20000
2025-05-22T17:06:00.667402,KXBTCD-25MAY2221-T111999.99,DELTA,14,82,15,50,24,yes,5,-2000
2025-05-22T17:06:00.667459,KXBTCD-25MAY2221-T111999.99,DELTA,14,82,15,50,25,yes,5,-1250
2025-05-22T17:06:00.726032,KXBTCD-25MAY2221-T111999.99,DELTA,14,82,15,50,26,yes,10,1250
2025-05-22T17:06:00.726108,KXBTCD-25MAY2221-T111999.99,DELTA,14,82,15,50,27,yes,7,2000
2025-05-22T17:06:00.887440,KXBTCD-25MAY2221-T111999.99,DELTA,14,68,15,50,28,yes,14,-14
2025-05-22T17:06:00.887566,KXBTCD-25MAY2221-T111999.99,DELTA,14,68,15,50,29,yes,13,14
2025-05-22T17:06:00.887633,KXBTCD-25MAY2221-T111999.99,DELTA,14,68,15,50,30,no,76,-14
2025-05-22T17:06:00.906225,KXBTCD-25MAY2221-T111999.99,DELTA,14,68,15,50,31,no,77,14
2025-05-22T17:06:01.067205,KXBTCD-25MAY2221-T111999.99,DELTA,14,68,17,1000,32,no,85,-50
2025-05-22T17:06:01.127255,KXBTCD-25MAY2221-T111999.99,DELTA,14,68,15,350,33,no,85,350
2025-05-22T17:06:01.186553,KXBTCD-25MAY2221-T111999.99,DELTA,14,68,15,350,34,no,84,250
2025-05-22T17:06:01.186651,KXBTCD-25MAY2221-T111999.99,DELTA,14,68,15,350,35,no,74,-250
2025-05-22T17:06:01.566207,KXBTCD-25MAY2221-T111999.99,DELTA,14,68,15,350,36,no,79,-100
2025-05-22T17:06:01.566316,KXBTCD-25MAY2221-T111999.99,DELTA,13,14,15,350,37,yes,14,-68
2025-05-22T17:06:01.666380,KXBTCD-25MAY2221-T111999.99,DELTA,13,14,15,350,38,yes,10,-1250
2025-05-22T17:06:01.685885,KXBTCD-25MAY2221-T111999.99,DELTA,13,14,15,350,39,no,80,-2000
2025-05-22T17:06:01.686073,KXBTCD-25MAY2221-T111999.99,DELTA,13,14,15,350,40,no,83,-1000
2025-05-22T17:06:01.706470,KXBTCD-25MAY2221-T111999.99,DELTA,13,14,15,350,41,no,81,-1250
2025-05-22T17:06:01.785953,KXBTCD-25MAY2221-T111999.99,DELTA,13,14,15,350,42,no,81,2000
